sampleName,condition
Exp1.2D.GBA010197.1,DIS
Exp1.2D.GBA010197.2,DIS
Exp1.2D.GBA010198.1,DIS
Exp1.2D.LRRK050401.01.1,DIS
Exp1.2D.LRRK050779.1,DIS
Exp1.2D.WT050598.1,CTRL
Exp1.3D.GBA010197.1,DIS
Exp1.3D.GBA010197.2,DIS
Exp1.3D.GBA010198.1,DIS
Exp1.3D.GBA010198.2,DIS
Exp1.3D.LRRK050401.01.1,DIS
Exp1.3D.LRRK050401.01.2,DIS
Exp1.3D.LRRK050779.1,DIS
Exp1.3D.LRRK050779.2,DIS
Exp1.3D.WT050598.1,CTRL
Exp1.3D.WT050598.2,CTRL
Exp2.2D.GBA010197.1,DIS
Exp2.2D.GBA010197.2,DIS
Exp2.2D.GBA010198.1,DIS
Exp2.2D.GBA010198.2,DIS
Exp2.2D.LRRK050401.01.1,DIS
Exp2.2D.LRRK050779.1,DIS
Exp2.2D.LRRK050779.2,DIS
Exp2.2D.WT050176.1,CTRL
Exp2.2D.WT050176.2,CTRL
Exp2.2D.WT050598.1,CTRL
Exp2.2D.WT050598.2,CTRL
Exp2.3D.GBA010197.1,DIS
Exp2.3D.GBA010197.2,DIS
Exp2.3D.GBA010198.1,DIS
Exp2.3D.GBA010198.2,DIS
Exp2.3D.LRRK050401.01.1,DIS
Exp2.3D.LRRK050401.01.2,DIS
Exp2.3D.LRRK050779.1,DIS
Exp2.3D.LRRK050779.2,DIS
Exp2.3D.WT050176.1,CTRL
Exp2.3D.WT050176.2,CTRL
Exp2.3D.WT050176.3,CTRL
Exp2.3D.WT050598.1,CTRL
Exp2.3D.WT050598.2,CTRL
